Consumption (kwh), Estimated Cost (p), Start, End
0.065000, 1.82, 2024-01-01T00:00:00+00:00, 2024-01-01T00:30:00+00:00
0.071000, 1.99, 2024-01-01T00:30:00+00:00, 2024-01-01T01:00:00+00:00
0.028000, 0.78, 2024-01-01T01:00:00+00:00, 2024-01-01T01:30:00+00:00
0.022000, 0.62, 2024-01-01T01:30:00+00:00, 2024-01-01T02:00:00+00:00
0.006000, 0.17, 2024-01-01T02:00:00+00:00, 2024-01-01T02:30:00+00:00
0.022000, 0.62, 2024-01-01T02:30:00+00:00, 2024-01-01T03:00:00+00:00
0.018000, 0.50, 2024-01-01T03:00:00+00:00, 2024-01-01T03:30:00+00:00
0.008000, 0.22, 2024-01-01T03:30:00+00:00, 2024-01-01T04:00:00+00:00
0.021000, 0.59, 2024-01-01T04:00:00+00:00, 2024-01-01T04:30:00+00:00
0.006000, 0.17, 2024-01-01T04:30:00+00:00, 2024-01-01T05:00:00+00:00
0.021000, 0.59, 2024-01-01T05:00:00+00:00, 2024-01-01T05:30:00+00:00
0.015000, 0.42, 2024-01-01T05:30:00+00:00, 2024-01-01T06:00:00+00:00
0.011000, 0.31, 2024-01-01T06:00:00+00:00, 2024-01-01T06:30:00+00:00
0.027000, 0.76, 2024-01-01T06:30:00+00:00, 2024-01-01T07:00:00+00:00
0.005000, 0.14, 2024-01-01T07:00:00+00:00, 2024-01-01T07:30:00+00:00
0.022000, 0.62, 2024-01-01T07:30:00+00:00, 2024-01-01T08:00:00+00:00
0.005000, 0.14, 2024-01-01T08:00:00+00:00, 2024-01-01T08:30:00+00:00
0.022000, 0.62, 2024-01-01T08:30:00+00:00, 2024-01-01T09:00:00+00:00
0.020000, 0.56, 2024-01-01T09:00:00+00:00, 2024-01-01T09:30:00+00:00
0.350000, 9.81, 2024-01-01T09:30:00+00:00, 2024-01-01T10:00:00+00:00
0.166000, 4.65, 2024-01-01T10:00:00+00:00, 2024-01-01T10:30:00+00:00
0.136000, 3.81, 2024-01-01T10:30:00+00:00, 2024-01-01T11:00:00+00:00
0.060000, 1.68, 2024-01-01T11:00:00+00:00, 2024-01-01T11:30:00+00:00
0.019000, 0.53, 2024-01-01T11:30:00+00:00, 2024-01-01T12:00:00+00:00
0.012000, 0.34, 2024-01-01T12:00:00+00:00, 2024-01-01T12:30:00+00:00
0.022000, 0.62, 2024-01-01T12:30:00+00:00, 2024-01-01T13:00:00+00:00
0.005000, 0.14, 2024-01-01T13:00:00+00:00, 2024-01-01T13:30:00+00:00
0.023000, 0.64, 2024-01-01T13:30:00+00:00, 2024-01-01T14:00:00+00:00
0.005000, 0.14, 2024-01-01T14:00:00+00:00, 2024-01-01T14:30:00+00:00
0.022000, 0.62, 2024-01-01T14:30:00+00:00, 2024-01-01T15:00:00+00:00
0.013000, 0.36, 2024-01-01T15:00:00+00:00, 2024-01-01T15:30:00+00:00
0.015000, 0.42, 2024-01-01T15:30:00+00:00, 2024-01-01T16:00:00+00:00
0.210000, 5.88, 2024-01-01T16:00:00+00:00, 2024-01-01T16:30:00+00:00
0.072000, 2.02, 2024-01-01T16:30:00+00:00, 2024-01-01T17:00:00+00:00
0.090000, 2.52, 2024-01-01T17:00:00+00:00, 2024-01-01T17:30:00+00:00
0.074000, 2.07, 2024-01-01T17:30:00+00:00, 2024-01-01T18:00:00+00:00
0.093000, 2.61, 2024-01-01T18:00:00+00:00, 2024-01-01T18:30:00+00:00
0.088000, 2.47, 2024-01-01T18:30:00+00:00, 2024-01-01T19:00:00+00:00
0.079000, 2.21, 2024-01-01T19:00:00+00:00, 2024-01-01T19:30:00+00:00
0.111000, 3.11, 2024-01-01T19:30:00+00:00, 2024-01-01T20:00:00+00:00
0.078000, 2.19, 2024-01-01T20:00:00+00:00, 2024-01-01T20:30:00+00:00
0.220000, 6.16, 2024-01-01T20:30:00+00:00, 2024-01-01T21:00:00+00:00
0.133000, 3.73, 2024-01-01T21:00:00+00:00, 2024-01-01T21:30:00+00:00
0.089000, 2.49, 2024-01-01T21:30:00+00:00, 2024-01-01T22:00:00+00:00
0.099000, 2.77, 2024-01-01T22:00:00+00:00, 2024-01-01T22:30:00+00:00
0.076000, 2.13, 2024-01-01T22:30:00+00:00, 2024-01-01T23:00:00+00:00
0.072000, 2.02, 2024-01-01T23:00:00+00:00, 2024-01-01T23:30:00+00:00
0.029000, 0.81, 2024-01-01T23:30:00+00:00, 2024-01-02T00:00:00+00:00
0.033000, 0.92, 2024-01-02T00:00:00+00:00, 2024-01-02T00:30:00+00:00
0.025000, 0.70, 2024-01-02T00:30:00+00:00, 2024-01-02T01:00:00+00:00
0.022000, 0.62, 2024-01-02T01:00:00+00:00, 2024-01-02T01:30:00+00:00
0.007000, 0.20, 2024-01-02T01:30:00+00:00, 2024-01-02T02:00:00+00:00
0.022000, 0.62, 2024-01-02T02:00:00+00:00, 2024-01-02T02:30:00+00:00
0.022000, 0.62, 2024-01-02T02:30:00+00:00, 2024-01-02T03:00:00+00:00
0.006000, 0.17, 2024-01-02T03:00:00+00:00, 2024-01-02T03:30:00+00:00
0.022000, 0.62, 2024-01-02T03:30:00+00:00, 2024-01-02T04:00:00+00:00
0.017000, 0.48, 2024-01-02T04:00:00+00:00, 2024-01-02T04:30:00+00:00
0.011000, 0.31, 2024-01-02T04:30:00+00:00, 2024-01-02T05:00:00+00:00
0.023000, 0.64, 2024-01-02T05:00:00+00:00, 2024-01-02T05:30:00+00:00
0.006000, 0.17, 2024-01-02T05:30:00+00:00, 2024-01-02T06:00:00+00:00
0.023000, 0.64, 2024-01-02T06:00:00+00:00, 2024-01-02T06:30:00+00:00
0.006000, 0.17, 2024-01-02T06:30:00+00:00, 2024-01-02T07:00:00+00:00
0.052000, 1.46, 2024-01-02T07:00:00+00:00, 2024-01-02T07:30:00+00:00
0.051000, 1.43, 2024-01-02T07:30:00+00:00, 2024-01-02T08:00:00+00:00
0.058000, 1.62, 2024-01-02T08:00:00+00:00, 2024-01-02T08:30:00+00:00
0.274000, 7.68, 2024-01-02T08:30:00+00:00, 2024-01-02T09:00:00+00:00
0.052000, 1.46, 2024-01-02T09:00:00+00:00, 2024-01-02T09:30:00+00:00
0.269000, 7.54, 2024-01-02T09:30:00+00:00, 2024-01-02T10:00:00+00:00
0.143000, 4.01, 2024-01-02T10:00:00+00:00, 2024-01-02T10:30:00+00:00
0.084000, 2.35, 2024-01-02T10:30:00+00:00, 2024-01-02T11:00:00+00:00
0.100000, 2.80, 2024-01-02T11:00:00+00:00, 2024-01-02T11:30:00+00:00
0.487000, 13.64, 2024-01-02T11:30:00+00:00, 2024-01-02T12:00:00+00:00
0.379000, 10.62, 2024-01-02T12:00:00+00:00, 2024-01-02T12:30:00+00:00
0.090000, 2.52, 2024-01-02T12:30:00+00:00, 2024-01-02T13:00:00+00:00
0.066000, 1.85, 2024-01-02T13:00:00+00:00, 2024-01-02T13:30:00+00:00
0.005000, 0.14, 2024-01-02T13:30:00+00:00, 2024-01-02T14:00:00+00:00
0.021000, 0.59, 2024-01-02T14:00:00+00:00, 2024-01-02T14:30:00+00:00
0.010000, 0.28, 2024-01-02T14:30:00+00:00, 2024-01-02T15:00:00+00:00
0.015000, 0.42, 2024-01-02T15:00:00+00:00, 2024-01-02T15:30:00+00:00
0.018000, 0.50, 2024-01-02T15:30:00+00:00, 2024-01-02T16:00:00+00:00
0.009000, 0.25, 2024-01-02T16:00:00+00:00, 2024-01-02T16:30:00+00:00
0.019000, 0.53, 2024-01-02T16:30:00+00:00, 2024-01-02T17:00:00+00:00
0.008000, 0.22, 2024-01-02T17:00:00+00:00, 2024-01-02T17:30:00+00:00
0.016000, 0.45, 2024-01-02T17:30:00+00:00, 2024-01-02T18:00:00+00:00
0.377000, 10.56, 2024-01-02T18:00:00+00:00, 2024-01-02T18:30:00+00:00
0.830000, 23.25, 2024-01-02T18:30:00+00:00, 2024-01-02T19:00:00+00:00
0.776000, 21.74, 2024-01-02T19:00:00+00:00, 2024-01-02T19:30:00+00:00
0.749000, 20.98, 2024-01-02T19:30:00+00:00, 2024-01-02T20:00:00+00:00
0.834000, 23.37, 2024-01-02T20:00:00+00:00, 2024-01-02T20:30:00+00:00
0.753000, 21.10, 2024-01-02T20:30:00+00:00, 2024-01-02T21:00:00+00:00
0.805000, 22.55, 2024-01-02T21:00:00+00:00, 2024-01-02T21:30:00+00:00
0.795000, 22.27, 2024-01-02T21:30:00+00:00, 2024-01-02T22:00:00+00:00
0.779000, 21.83, 2024-01-02T22:00:00+00:00, 2024-01-02T22:30:00+00:00
0.968000, 27.12, 2024-01-02T22:30:00+00:00, 2024-01-02T23:00:00+00:00
0.732000, 20.51, 2024-01-02T23:00:00+00:00, 2024-01-02T23:30:00+00:00
0.706000, 19.78, 2024-01-02T23:30:00+00:00, 2024-01-03T00:00:00+00:00
0.722000, 20.23, 2024-01-03T00:00:00+00:00, 2024-01-03T00:30:00+00:00
0.702000, 19.67, 2024-01-03T00:30:00+00:00, 2024-01-03T01:00:00+00:00
0.684000, 19.16, 2024-01-03T01:00:00+00:00, 2024-01-03T01:30:00+00:00
0.705000, 19.75, 2024-01-03T01:30:00+00:00, 2024-01-03T02:00:00+00:00
0.703000, 19.70, 2024-01-03T02:00:00+00:00, 2024-01-03T02:30:00+00:00
0.677000, 18.97, 2024-01-03T02:30:00+00:00, 2024-01-03T03:00:00+00:00
0.697000, 19.53, 2024-01-03T03:00:00+00:00, 2024-01-03T03:30:00+00:00
0.710000, 19.89, 2024-01-03T03:30:00+00:00, 2024-01-03T04:00:00+00:00
0.696000, 19.50, 2024-01-03T04:00:00+00:00, 2024-01-03T04:30:00+00:00
0.715000, 20.03, 2024-01-03T04:30:00+00:00, 2024-01-03T05:00:00+00:00
0.706000, 19.78, 2024-01-03T05:00:00+00:00, 2024-01-03T05:30:00+00:00
0.705000, 19.75, 2024-01-03T05:30:00+00:00, 2024-01-03T06:00:00+00:00
0.701000, 19.64, 2024-01-03T06:00:00+00:00, 2024-01-03T06:30:00+00:00
0.688000, 19.28, 2024-01-03T06:30:00+00:00, 2024-01-03T07:00:00+00:00
0.825000, 23.11, 2024-01-03T07:00:00+00:00, 2024-01-03T07:30:00+00:00
0.737000, 20.65, 2024-01-03T07:30:00+00:00, 2024-01-03T08:00:00+00:00
0.740000, 20.73, 2024-01-03T08:00:00+00:00, 2024-01-03T08:30:00+00:00
0.763000, 21.38, 2024-01-03T08:30:00+00:00, 2024-01-03T09:00:00+00:00
0.776000, 21.74, 2024-01-03T09:00:00+00:00, 2024-01-03T09:30:00+00:00
0.826000, 23.14, 2024-01-03T09:30:00+00:00, 2024-01-03T10:00:00+00:00
0.747000, 20.93, 2024-01-03T10:00:00+00:00, 2024-01-03T10:30:00+00:00
0.120000, 3.36, 2024-01-03T10:30:00+00:00, 2024-01-03T11:00:00+00:00
0.052000, 1.46, 2024-01-03T11:00:00+00:00, 2024-01-03T11:30:00+00:00
0.202000, 5.66, 2024-01-03T11:30:00+00:00, 2024-01-03T12:00:00+00:00
0.056000, 1.57, 2024-01-03T12:00:00+00:00, 2024-01-03T12:30:00+00:00
0.039000, 1.09, 2024-01-03T12:30:00+00:00, 2024-01-03T13:00:00+00:00
0.050000, 1.40, 2024-01-03T13:00:00+00:00, 2024-01-03T13:30:00+00:00
0.050000, 1.40, 2024-01-03T13:30:00+00:00, 2024-01-03T14:00:00+00:00
0.034000, 0.95, 2024-01-03T14:00:00+00:00, 2024-01-03T14:30:00+00:00
0.048000, 1.34, 2024-01-03T14:30:00+00:00, 2024-01-03T15:00:00+00:00
0.051000, 1.43, 2024-01-03T15:00:00+00:00, 2024-01-03T15:30:00+00:00
0.038000, 1.06, 2024-01-03T15:30:00+00:00, 2024-01-03T16:00:00+00:00
0.046000, 1.29, 2024-01-03T16:00:00+00:00, 2024-01-03T16:30:00+00:00
0.866000, 24.26, 2024-01-03T16:30:00+00:00, 2024-01-03T17:00:00+00:00
0.940000, 26.34, 2024-01-03T17:00:00+00:00, 2024-01-03T17:30:00+00:00
0.791000, 22.16, 2024-01-03T17:30:00+00:00, 2024-01-03T18:00:00+00:00
0.760000, 21.29, 2024-01-03T18:00:00+00:00, 2024-01-03T18:30:00+00:00
0.752000, 21.07, 2024-01-03T18:30:00+00:00, 2024-01-03T19:00:00+00:00
0.738000, 20.68, 2024-01-03T19:00:00+00:00, 2024-01-03T19:30:00+00:00
0.616000, 17.26, 2024-01-03T19:30:00+00:00, 2024-01-03T20:00:00+00:00
0.177000, 4.96, 2024-01-03T20:00:00+00:00, 2024-01-03T20:30:00+00:00
0.753000, 21.10, 2024-01-03T20:30:00+00:00, 2024-01-03T21:00:00+00:00
0.900000, 25.22, 2024-01-03T21:00:00+00:00, 2024-01-03T21:30:00+00:00
0.812000, 22.75, 2024-01-03T21:30:00+00:00, 2024-01-03T22:00:00+00:00
0.991000, 27.76, 2024-01-03T22:00:00+00:00, 2024-01-03T22:30:00+00:00
0.729000, 20.42, 2024-01-03T22:30:00+00:00, 2024-01-03T23:00:00+00:00
0.697000, 19.53, 2024-01-03T23:00:00+00:00, 2024-01-03T23:30:00+00:00
0.707000, 19.81, 2024-01-03T23:30:00+00:00, 2024-01-04T00:00:00+00:00
0.712000, 19.95, 2024-01-04T00:00:00+00:00, 2024-01-04T00:30:00+00:00
0.688000, 19.28, 2024-01-04T00:30:00+00:00, 2024-01-04T01:00:00+00:00
0.691000, 19.36, 2024-01-04T01:00:00+00:00, 2024-01-04T01:30:00+00:00
0.708000, 19.84, 2024-01-04T01:30:00+00:00, 2024-01-04T02:00:00+00:00
0.699000, 19.58, 2024-01-04T02:00:00+00:00, 2024-01-04T02:30:00+00:00
0.693000, 19.42, 2024-01-04T02:30:00+00:00, 2024-01-04T03:00:00+00:00
0.688000, 19.28, 2024-01-04T03:00:00+00:00, 2024-01-04T03:30:00+00:00
0.690000, 19.33, 2024-01-04T03:30:00+00:00, 2024-01-04T04:00:00+00:00
0.702000, 19.67, 2024-01-04T04:00:00+00:00, 2024-01-04T04:30:00+00:00
0.707000, 19.81, 2024-01-04T04:30:00+00:00, 2024-01-04T05:00:00+00:00
0.676000, 18.94, 2024-01-04T05:00:00+00:00, 2024-01-04T05:30:00+00:00
0.699000, 19.58, 2024-01-04T05:30:00+00:00, 2024-01-04T06:00:00+00:00
0.686000, 19.22, 2024-01-04T06:00:00+00:00, 2024-01-04T06:30:00+00:00
0.687000, 19.25, 2024-01-04T06:30:00+00:00, 2024-01-04T07:00:00+00:00
0.725000, 20.31, 2024-01-04T07:00:00+00:00, 2024-01-04T07:30:00+00:00
0.844000, 23.65, 2024-01-04T07:30:00+00:00, 2024-01-04T08:00:00+00:00
0.775000, 21.71, 2024-01-04T08:00:00+00:00, 2024-01-04T08:30:00+00:00
0.782000, 21.91, 2024-01-04T08:30:00+00:00, 2024-01-04T09:00:00+00:00
1.194000, 33.45, 2024-01-04T09:00:00+00:00, 2024-01-04T09:30:00+00:00
0.883000, 24.74, 2024-01-04T09:30:00+00:00, 2024-01-04T10:00:00+00:00
0.740000, 20.73, 2024-01-04T10:00:00+00:00, 2024-01-04T10:30:00+00:00
0.027000, 0.76, 2024-01-04T10:30:00+00:00, 2024-01-04T11:00:00+00:00
0.022000, 0.62, 2024-01-04T11:00:00+00:00, 2024-01-04T11:30:00+00:00
0.021000, 0.59, 2024-01-04T11:30:00+00:00, 2024-01-04T12:00:00+00:00
0.008000, 0.22, 2024-01-04T12:00:00+00:00, 2024-01-04T12:30:00+00:00
0.018000, 0.50, 2024-01-04T12:30:00+00:00, 2024-01-04T13:00:00+00:00
0.021000, 0.59, 2024-01-04T13:00:00+00:00, 2024-01-04T13:30:00+00:00
0.008000, 0.22, 2024-01-04T13:30:00+00:00, 2024-01-04T14:00:00+00:00
0.018000, 0.50, 2024-01-04T14:00:00+00:00, 2024-01-04T14:30:00+00:00
0.021000, 0.59, 2024-01-04T14:30:00+00:00, 2024-01-04T15:00:00+00:00
0.006000, 0.17, 2024-01-04T15:00:00+00:00, 2024-01-04T15:30:00+00:00
0.203000, 5.69, 2024-01-04T15:30:00+00:00, 2024-01-04T16:00:00+00:00
0.082000, 2.30, 2024-01-04T16:00:00+00:00, 2024-01-04T16:30:00+00:00
0.824000, 23.09, 2024-01-04T16:30:00+00:00, 2024-01-04T17:00:00+00:00
0.769000, 21.55, 2024-01-04T17:00:00+00:00, 2024-01-04T17:30:00+00:00
0.769000, 21.55, 2024-01-04T17:30:00+00:00, 2024-01-04T18:00:00+00:00
1.052000, 29.47, 2024-01-04T18:00:00+00:00, 2024-01-04T18:30:00+00:00
1.090000, 30.54, 2024-01-04T18:30:00+00:00, 2024-01-04T19:00:00+00:00
0.766000, 21.46, 2024-01-04T19:00:00+00:00, 2024-01-04T19:30:00+00:00
0.915000, 25.64, 2024-01-04T19:30:00+00:00, 2024-01-04T20:00:00+00:00
0.768000, 21.52, 2024-01-04T20:00:00+00:00, 2024-01-04T20:30:00+00:00
0.759000, 21.27, 2024-01-04T20:30:00+00:00, 2024-01-04T21:00:00+00:00
0.771000, 21.60, 2024-01-04T21:00:00+00:00, 2024-01-04T21:30:00+00:00
0.752000, 21.07, 2024-01-04T21:30:00+00:00, 2024-01-04T22:00:00+00:00
0.961000, 26.92, 2024-01-04T22:00:00+00:00, 2024-01-04T22:30:00+00:00
0.771000, 21.60, 2024-01-04T22:30:00+00:00, 2024-01-04T23:00:00+00:00
0.749000, 20.98, 2024-01-04T23:00:00+00:00, 2024-01-04T23:30:00+00:00
1.050000, 29.42, 2024-01-04T23:30:00+00:00, 2024-01-05T00:00:00+00:00
0.718000, 20.12, 2024-01-05T00:00:00+00:00, 2024-01-05T00:30:00+00:00
0.709000, 19.86, 2024-01-05T00:30:00+00:00, 2024-01-05T01:00:00+00:00
0.693000, 19.42, 2024-01-05T01:00:00+00:00, 2024-01-05T01:30:00+00:00
0.702000, 19.67, 2024-01-05T01:30:00+00:00, 2024-01-05T02:00:00+00:00
0.694000, 19.44, 2024-01-05T02:00:00+00:00, 2024-01-05T02:30:00+00:00
0.691000, 19.36, 2024-01-05T02:30:00+00:00, 2024-01-05T03:00:00+00:00
0.703000, 19.70, 2024-01-05T03:00:00+00:00, 2024-01-05T03:30:00+00:00
0.689000, 19.30, 2024-01-05T03:30:00+00:00, 2024-01-05T04:00:00+00:00
0.705000, 19.75, 2024-01-05T04:00:00+00:00, 2024-01-05T04:30:00+00:00
0.694000, 19.44, 2024-01-05T04:30:00+00:00, 2024-01-05T05:00:00+00:00
0.701000, 19.64, 2024-01-05T05:00:00+00:00, 2024-01-05T05:30:00+00:00
0.704000, 19.72, 2024-01-05T05:30:00+00:00, 2024-01-05T06:00:00+00:00
0.692000, 19.39, 2024-01-05T06:00:00+00:00, 2024-01-05T06:30:00+00:00
0.710000, 19.89, 2024-01-05T06:30:00+00:00, 2024-01-05T07:00:00+00:00
0.715000, 20.03, 2024-01-05T07:00:00+00:00, 2024-01-05T07:30:00+00:00
0.734000, 20.56, 2024-01-05T07:30:00+00:00, 2024-01-05T08:00:00+00:00
0.787000, 22.05, 2024-01-05T08:00:00+00:00, 2024-01-05T08:30:00+00:00
0.823000, 23.06, 2024-01-05T08:30:00+00:00, 2024-01-05T09:00:00+00:00
1.024000, 28.69, 2024-01-05T09:00:00+00:00, 2024-01-05T09:30:00+00:00
0.593000, 16.61, 2024-01-05T09:30:00+00:00, 2024-01-05T10:00:00+00:00
0.076000, 2.13, 2024-01-05T10:00:00+00:00, 2024-01-05T10:30:00+00:00
0.237000, 6.64, 2024-01-05T10:30:00+00:00, 2024-01-05T11:00:00+00:00
0.044000, 1.23, 2024-01-05T11:00:00+00:00, 2024-01-05T11:30:00+00:00
0.038000, 1.06, 2024-01-05T11:30:00+00:00, 2024-01-05T12:00:00+00:00
0.049000, 1.37, 2024-01-05T12:00:00+00:00, 2024-01-05T12:30:00+00:00
0.050000, 1.40, 2024-01-05T12:30:00+00:00, 2024-01-05T13:00:00+00:00
0.034000, 0.95, 2024-01-05T13:00:00+00:00, 2024-01-05T13:30:00+00:00
0.050000, 1.40, 2024-01-05T13:30:00+00:00, 2024-01-05T14:00:00+00:00
0.050000, 1.40, 2024-01-05T14:00:00+00:00, 2024-01-05T14:30:00+00:00
0.032000, 0.90, 2024-01-05T14:30:00+00:00, 2024-01-05T15:00:00+00:00
0.050000, 1.40, 2024-01-05T15:00:00+00:00, 2024-01-05T15:30:00+00:00
0.051000, 1.43, 2024-01-05T15:30:00+00:00, 2024-01-05T16:00:00+00:00
0.034000, 0.95, 2024-01-05T16:00:00+00:00, 2024-01-05T16:30:00+00:00
0.051000, 1.43, 2024-01-05T16:30:00+00:00, 2024-01-05T17:00:00+00:00
0.051000, 1.43, 2024-01-05T17:00:00+00:00, 2024-01-05T17:30:00+00:00
0.033000, 0.92, 2024-01-05T17:30:00+00:00, 2024-01-05T18:00:00+00:00
0.058000, 1.62, 2024-01-05T18:00:00+00:00, 2024-01-05T18:30:00+00:00
0.839000, 23.51, 2024-01-05T18:30:00+00:00, 2024-01-05T19:00:00+00:00
0.820000, 22.97, 2024-01-05T19:00:00+00:00, 2024-01-05T19:30:00+00:00
0.871000, 24.40, 2024-01-05T19:30:00+00:00, 2024-01-05T20:00:00+00:00
0.890000, 24.94, 2024-01-05T20:00:00+00:00, 2024-01-05T20:30:00+00:00
0.795000, 22.27, 2024-01-05T20:30:00+00:00, 2024-01-05T21:00:00+00:00
0.755000, 21.15, 2024-01-05T21:00:00+00:00, 2024-01-05T21:30:00+00:00
0.974000, 27.29, 2024-01-05T21:30:00+00:00, 2024-01-05T22:00:00+00:00
0.773000, 21.66, 2024-01-05T22:00:00+00:00, 2024-01-05T22:30:00+00:00
0.739000, 20.70, 2024-01-05T22:30:00+00:00, 2024-01-05T23:00:00+00:00
0.750000, 21.01, 2024-01-05T23:00:00+00:00, 2024-01-05T23:30:00+00:00
0.994000, 27.85, 2024-01-05T23:30:00+00:00, 2024-01-06T00:00:00+00:00
0.721000, 20.20, 2024-01-06T00:00:00+00:00, 2024-01-06T00:30:00+00:00
0.683000, 19.14, 2024-01-06T00:30:00+00:00, 2024-01-06T01:00:00+00:00
0.697000, 19.53, 2024-01-06T01:00:00+00:00, 2024-01-06T01:30:00+00:00
0.696000, 19.50, 2024-01-06T01:30:00+00:00, 2024-01-06T02:00:00+00:00
0.679000, 19.02, 2024-01-06T02:00:00+00:00, 2024-01-06T02:30:00+00:00
0.696000, 19.50, 2024-01-06T02:30:00+00:00, 2024-01-06T03:00:00+00:00
0.696000, 19.50, 2024-01-06T03:00:00+00:00, 2024-01-06T03:30:00+00:00
0.660000, 18.49, 2024-01-06T03:30:00+00:00, 2024-01-06T04:00:00+00:00
0.698000, 19.56, 2024-01-06T04:00:00+00:00, 2024-01-06T04:30:00+00:00
0.687000, 19.25, 2024-01-06T04:30:00+00:00, 2024-01-06T05:00:00+00:00
0.698000, 19.56, 2024-01-06T05:00:00+00:00, 2024-01-06T05:30:00+00:00
0.203000, 5.69, 2024-01-06T05:30:00+00:00, 2024-01-06T06:00:00+00:00
0.009000, 0.25, 2024-01-06T06:00:00+00:00, 2024-01-06T06:30:00+00:00
0.024000, 0.67, 2024-01-06T06:30:00+00:00, 2024-01-06T07:00:00+00:00
0.036000, 1.01, 2024-01-06T07:00:00+00:00, 2024-01-06T07:30:00+00:00
0.160000, 4.48, 2024-01-06T07:30:00+00:00, 2024-01-06T08:00:00+00:00
0.055000, 1.54, 2024-01-06T08:00:00+00:00, 2024-01-06T08:30:00+00:00
0.194000, 5.44, 2024-01-06T08:30:00+00:00, 2024-01-06T09:00:00+00:00
0.483000, 13.53, 2024-01-06T09:00:00+00:00, 2024-01-06T09:30:00+00:00
0.045000, 1.26, 2024-01-06T09:30:00+00:00, 2024-01-06T10:00:00+00:00
0.284000, 7.96, 2024-01-06T10:00:00+00:00, 2024-01-06T10:30:00+00:00
0.276000, 7.73, 2024-01-06T10:30:00+00:00, 2024-01-06T11:00:00+00:00
0.129000, 3.61, 2024-01-06T11:00:00+00:00, 2024-01-06T11:30:00+00:00
0.009000, 0.25, 2024-01-06T11:30:00+00:00, 2024-01-06T12:00:00+00:00
0.005000, 0.14, 2024-01-06T12:00:00+00:00, 2024-01-06T12:30:00+00:00
0.004000, 0.11, 2024-01-06T12:30:00+00:00, 2024-01-06T13:00:00+00:00
0.004000, 0.11, 2024-01-06T13:00:00+00:00, 2024-01-06T13:30:00+00:00
0.004000, 0.11, 2024-01-06T13:30:00+00:00, 2024-01-06T14:00:00+00:00
0.004000, 0.11, 2024-01-06T14:00:00+00:00, 2024-01-06T14:30:00+00:00
0.004000, 0.11, 2024-01-06T14:30:00+00:00, 2024-01-06T15:00:00+00:00
0.005000, 0.14, 2024-01-06T15:00:00+00:00, 2024-01-06T15:30:00+00:00
0.004000, 0.11, 2024-01-06T15:30:00+00:00, 2024-01-06T16:00:00+00:00
0.004000, 0.11, 2024-01-06T16:00:00+00:00, 2024-01-06T16:30:00+00:00
0.004000, 0.11, 2024-01-06T16:30:00+00:00, 2024-01-06T17:00:00+00:00
0.004000, 0.11, 2024-01-06T17:00:00+00:00, 2024-01-06T17:30:00+00:00
0.005000, 0.14, 2024-01-06T17:30:00+00:00, 2024-01-06T18:00:00+00:00
0.034000, 0.95, 2024-01-06T18:00:00+00:00, 2024-01-06T18:30:00+00:00
0.033000, 0.92, 2024-01-06T18:30:00+00:00, 2024-01-06T19:00:00+00:00
0.032000, 0.90, 2024-01-06T19:00:00+00:00, 2024-01-06T19:30:00+00:00
0.033000, 0.92, 2024-01-06T19:30:00+00:00, 2024-01-06T20:00:00+00:00
0.033000, 0.92, 2024-01-06T20:00:00+00:00, 2024-01-06T20:30:00+00:00
0.032000, 0.90, 2024-01-06T20:30:00+00:00, 2024-01-06T21:00:00+00:00
0.004000, 0.11, 2024-01-06T21:00:00+00:00, 2024-01-06T21:30:00+00:00
0.005000, 0.14, 2024-01-06T21:30:00+00:00, 2024-01-06T22:00:00+00:00
0.004000, 0.11, 2024-01-06T22:00:00+00:00, 2024-01-06T22:30:00+00:00
0.004000, 0.11, 2024-01-06T22:30:00+00:00, 2024-01-06T23:00:00+00:00
0.004000, 0.11, 2024-01-06T23:00:00+00:00, 2024-01-06T23:30:00+00:00
0.004000, 0.11, 2024-01-06T23:30:00+00:00, 2024-01-07T00:00:00+00:00
0.004000, 0.11, 2024-01-07T00:00:00+00:00, 2024-01-07T00:30:00+00:00
0.004000, 0.11, 2024-01-07T00:30:00+00:00, 2024-01-07T01:00:00+00:00
0.004000, 0.11, 2024-01-07T01:00:00+00:00, 2024-01-07T01:30:00+00:00
0.005000, 0.14, 2024-01-07T01:30:00+00:00, 2024-01-07T02:00:00+00:00
0.004000, 0.11, 2024-01-07T02:00:00+00:00, 2024-01-07T02:30:00+00:00
0.004000, 0.11, 2024-01-07T02:30:00+00:00, 2024-01-07T03:00:00+00:00
0.004000, 0.11, 2024-01-07T03:00:00+00:00, 2024-01-07T03:30:00+00:00
0.004000, 0.11, 2024-01-07T03:30:00+00:00, 2024-01-07T04:00:00+00:00
0.004000, 0.11, 2024-01-07T04:00:00+00:00, 2024-01-07T04:30:00+00:00
0.004000, 0.11, 2024-01-07T04:30:00+00:00, 2024-01-07T05:00:00+00:00
0.004000, 0.11, 2024-01-07T05:00:00+00:00, 2024-01-07T05:30:00+00:00
0.004000, 0.11, 2024-01-07T05:30:00+00:00, 2024-01-07T06:00:00+00:00
0.005000, 0.14, 2024-01-07T06:00:00+00:00, 2024-01-07T06:30:00+00:00
0.005000, 0.14, 2024-01-07T06:30:00+00:00, 2024-01-07T07:00:00+00:00
0.033000, 0.92, 2024-01-07T07:00:00+00:00, 2024-01-07T07:30:00+00:00
